NCEP_ID,IGRA_ID,LAT,LON,ELEV,IGRA_LAT,IGRA_LON
40080,SYM00040080,33.42,36.52,615,33.417,36.517
40100,LEM00040100,33.82,35.48,26,33.817,35.483
40179,ISM00040179,32.0,34.82,30,32.0,34.8167
40191,ISM00040191,31.23,34.78,275,31.233,34.783
40199,ISM00040199,29.55,34.95,12,29.55,34.95
40230,JOM00040255,32.55,35.85,618,32.55,35.85
40270,JOM00040270,31.98,35.98,767,31.983,35.983
40310,JOM00040310,30.17,35.78,1070,30.167,35.783
40394,SAM00040394,27.43,41.68,1013,27.4333,41.6833
40395,SAM00040394,27.43,41.68,1002,27.4333,41.6833
40416,SAM00040416,26.27,50.17,22,26.267,50.167
40417,SAM00040417,26.45,49.82,12,26.45,49.8167
40438,SAM00040438,24.7,46.73,624,24.7,46.733
40569,SAM00041114,18.3,42.8,2065,18.3,42.8
40575,MUM00041316,17.05,54.1,17,17.0439,54.1022
40597,YMM00041480,12.83,45.03,3,12.833,45.033
40642,IZM00040642,33.03,40.28,615,33.033,40.283
40706,IRM00040706,38.08,46.28,1361,38.0833,46.2833
40745,IRM00040745,36.27,59.63,989,36.2667,59.6333
40809,IRM00040809,32.87,59.2,1491,32.8667,59.2
40811,IRM00040811,31.33,48.67,20,31.3333,48.6667
40841,IRM00040841,30.25,56.97,1754,30.25,56.9667
40856,IRM00040856,29.47,60.88,1370,29.4667,60.8833
40911,AFM00040911,36.7,67.2,378,36.7,67.2
40913,AFM00040913,36.67,68.92,433,36.6667,68.9167
40938,AFM00040938,34.22,62.22,964,34.217,62.217
40948,AFM00040948,34.55,69.22,1791,34.55,69.2167
40990,AFM00040990,31.5,65.85,1005,31.5,65.85
41112,SAM00041112,18.23,42.65,2084,18.2333,42.65
41114,SAM00041114,18.3,42.8,2054,18.3,42.8
41217,AEM00041217,24.43,54.65,27,24.4333,54.65
41344,YMM00041344,15.52,44.18,2206,15.517,44.183
41404,YMM00041404,15.38,44.2,2190,15.383,44.2
41467,YMM00041480,12.83,45.03,3,12.833,45.033
41480,YMM00041480,12.83,45.03,3,12.833,45.033
41515,PKM00041515,35.57,71.78,1465,35.5667,71.7833
41516,PKM00041516,35.92,74.33,1459,35.9167,74.3333
41560,PKM00041560,33.87,70.08,1726,33.8667,70.0833
41570,PKM00041571,33.62,73.1,507,33.6167,73.1
41571,PKM00041571,33.62,73.1,508,33.6167,73.1
41594,PKM00041594,32.05,72.67,186,32.05,72.667
41598,PKM00041598,32.93,73.72,232,32.9333,73.7167
41600,PKM00041600,32.5,74.53,251,32.5,74.5333
41620,PKM00041620,31.35,69.47,1407,31.35,69.467
41624,PKM00041624,31.82,70.92,173,31.8167,70.9167
41640,PKM00041640,31.55,74.33,213,31.55,74.3333
41685,PKM00041685,29.88,69.72,1098,29.8833,69.7167
41696,PKM00041696,29.03,66.58,2015,29.0333,66.5833
41710,PKM00041710,28.82,62.75,679,28.8167,62.75
41712,PKM00041712,28.88,64.4,848,28.8833,64.4
41715,PKM00041715,28.3,68.47,55,28.3,68.4667
41718,PKM00041718,28.65,70.68,87,28.65,70.6833
41739,PKM00041739,26.97,64.1,968,26.9667,64.1
41744,PKM00041744,27.83,66.63,1232,27.8333,66.6333
41749,PKM00041749,26.25,68.37,37,26.25,68.3667
41756,PKM00041756,25.07,61.8,56,25.0667,61.8
41759,PKM00041759,25.27,63.48,6,25.2667,63.4833
41764,PKM00041764,25.38,68.42,41,25.3833,68.4167
41765,PKM00041764,25.38,68.42,28,25.3833,68.4167
41768,PKM00041768,25.52,69.78,5,25.5167,69.7833
41780,PKM00041780,24.9,67.13,23,24.9,67.1333
41858,BGM00041883,24.85,89.37,18,24.85,89.3667
41883,BGM00041883,24.85,89.37,18,24.85,89.3667
41891,BGM00041891,24.9,91.88,34,24.9,91.8833
41900,BGM00041891,24.9,91.88,15,24.9,91.8833
41936,BGM00041936,23.18,89.17,6,23.1833,89.1667
41940,BGM00041977,22.35,91.82,26,22.35,91.8167
41941,BGM00041977,22.35,91.82,4,22.35,91.8167
41977,BGM00041977,22.35,91.82,34,22.35,91.8167
42027,INM00042027,34.08,74.83,1587,34.0833,74.8333
42056,INM00042056,32.67,74.83,367,32.6667,74.8333
42071,INM00042071,31.63,74.87,229,31.6333,74.8667
42101,INM00042101,30.33,76.47,249,30.3333,76.4667
42103,INM00042103,30.38,76.77,271,30.3833,76.7667
42111,INM00042111,30.32,78.03,683,30.3167,78.0333
42123,INM00042123,29.92,73.88,176,29.9167,73.8833
42165,INM00042165,28.0,73.3,223,28.0,73.3
42170,INM00042170,28.25,74.92,290,28.25,74.9167
42182,INM00042182,28.58,77.2,214,28.5833,77.2
42189,INM00042189,28.37,79.4,172,28.3667,79.4
42260,INM00042260,27.15,77.97,166,27.15,77.9667
42273,INM00042273,27.57,81.6,122,27.5667,81.6
42299,INM00042299,27.33,88.62,1756,27.3333,88.6167
42314,INM00042314,27.48,95.02,110,27.4833,95.0167
42328,INM00042328,26.9,70.92,237,26.9,70.9167
42339,INM00042339,26.3,73.02,217,26.3,73.0167
42348,INM00042348,26.82,75.8,385,26.8167,75.8
42361,INM00042361,26.23,78.25,205,26.2333,78.25
42369,INM00042369,26.75,80.88,122,26.75,80.8833
42379,INM00042379,26.75,83.37,76,26.75,83.3667
42382,INM00042382,26.98,84.85,79,26.983,84.85
42397,INM00042397,26.67,88.37,123,26.6667,88.3667
42399,INM00042399,26.53,88.72,83,26.5333,88.7167
42410,INM00042410,26.1,91.58,48,26.1,91.5833
42435,INM00042435,25.75,71.38,193,25.75,71.3833
42452,INM00042452,25.15,75.85,273,25.15,75.85
42475,INM00042475,25.45,81.73,97,25.45,81.733
42498,INM00042498,25.23,86.95,44,25.2333,86.95
42542,INM00042542,24.62,73.88,512,24.6167,73.8833
42591,INM00042591,24.75,84.95,110,24.75,84.95
42623,INM00042623,24.77,93.9,780,24.7667,93.9
42667,INM00042667,23.28,77.35,523,23.2833,77.35
42701,INM00042701,23.32,85.32,654,23.3167,85.3167
42724,INM00042724,23.88,91.25,16,23.8833,91.25
42779,INM00042779,22.77,81.9,624,22.767,81.9
42799,INM00042798,22.82,86.18,129,22.8167,86.1833
42809,INM00042809,22.65,88.45,5,22.65,88.45
42840,INM00042840,21.2,72.83,10,21.2,72.8333
42867,INM00042867,21.1,79.05,309,21.1,79.05
42875,INM00042874,21.23,81.65,296,21.2333,81.65
42886,INM00042886,21.92,84.08,228,21.9167,84.0833
42909,INM00042909,20.9,70.37,6,20.9,70.367
43003,INM00043003,19.12,72.85,8,19.1167,72.85
43014,INM00043014,19.85,75.4,586,19.85,75.4
43041,INM00043041,19.08,82.03,552,19.0833,82.0333
43049,INM00043049,19.27,84.88,16,19.2667,84.8833
43063,INM00043063,18.53,73.85,559,18.5333,73.85
43110,INM00043110,16.98,73.33,34,16.9833,73.3333
43128,INM00043128,17.45,78.47,531,17.45,78.4667
43181,INM00043181,16.53,80.8,21,16.533,80.8
43192,INM00043192,15.48,73.82,58,15.4833,73.8167
43201,INM00043201,15.42,75.63,649,15.4167,75.6333
43237,INM00043237,14.68,77.62,349,14.6833,77.6167
43279,INM00043279,13.0,80.18,10,13.0,80.1833
43284,INM00043284,12.92,74.88,102,12.917,74.883
43285,INM00043285,12.95,74.83,31,12.95,74.8333
43295,INM00043295,12.97,77.58,920,12.9667,77.5833
43311,INM00043311,11.12,72.73,3,11.1167,72.7333
43333,INM00043333,11.67,92.72,73,11.6667,92.7167
43344,INM00043344,10.77,78.72,85,10.7667,78.7167
43346,INM00043346,10.92,79.83,7,10.9167,79.8333
43353,INM00043353,9.93,76.23,1,9.9333,76.2333
43368,INM00043368,9.15,92.82,13,9.15,92.81
43371,INM00043371,8.48,76.95,60,8.4833,76.95
43413,CEM00043413,8.98,79.92,3,8.9833,79.9167
