,accuracy,recall,precision,f1score,POD,FARatio,FAR,CSI,HSS,TSS
KNJM,1.0,,,,,,0.0,,,
KNYL,1.0,,,,,,0.0,,,
KNZY,1.0,,,,,,0.0,,,
KODO,1.0,,,,,,0.0,,,
KOPF,1.0,,,,,,0.0,,,
KPTK,0.9428571428571428,0.0,0.0,,0.0,1.0,0.029411764705882353,0.0,-0.029411764705882353,-0.029411764705882353
KRCA,0.8571428571428571,0.0,,,0.0,,0.0,0.0,0.0,0.0
KRIW,0.9285714285714286,0.5,1.0,0.3333333333333333,0.5,0.0,0.0,0.5,0.631578947368421,0.5
KRNM,1.0,,,,,,0.0,,,
KSDL,1.0,,,,,,0.0,,,
KSKA,0.975609756097561,0.5,1.0,0.3333333333333333,0.5,0.0,0.0,0.5,0.6554621848739496,0.5
KSPG,1.0,,,,,,0.0,,,
KTMB,1.0,,,,,,0.0,,,
KTTS,1.0,,,,,,0.0,,,
KVBG,1.0,,,,,,0.0,,,
KVGT,1.0,,,,,,0.0,,,
KWAL,0.9615384615384616,,0.0,,,1.0,0.038461538461538464,0.0,0.0,
KYUM,1.0,,,,,,0.0,,,
LGB,1.0,,,,,,0.0,,,
LHW,1.0,,,,,,0.0,,,
LRF,0.9130434782608695,1.0,0.3333333333333333,0.25,1.0,0.6666666666666667,0.09090909090909091,0.3333333333333333,0.46511627906976744,0.9090909090909091
LSF,1.0,,,,,,0.0,,,
MCF,1.0,,,,,,0.0,,,
MMML,1.0,,,,,,0.0,,,
OAK,1.0,,,,,,0.0,,,
ORD,1.0,1.0,1.0,0.5,1.0,0.0,,1.0,,
PAH,0.8571428571428571,0.0,,,0.0,,0.0,0.0,0.0,0.0
PALH,0.9883720930232558,0.5,1.0,0.3333333333333333,0.5,0.0,0.0,0.5,0.6614173228346457,0.5
PAMR,0.9495798319327731,0.0,0.0,,0.0,1.0,0.008771929824561403,0.0,-0.014204545454545454,-0.008771929824561403
PANC,0.9618320610687023,0.375,1.0,0.27272727272727276,0.375,0.0,0.0,0.375,0.529791816223977,0.375
PANT,0.9816176470588235,0.16666666666666666,1.0,0.14285714285714285,0.16666666666666666,0.0,0.0,0.16666666666666666,0.28118393234672306,0.16666666666666666
RCA,1.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0
SAN,1.0,,,,,,0.0,,,
SEP,1.0,,,,,,0.0,,,
SKA,0.9518072289156626,0.5,0.75,0.30000000000000004,0.5,0.25,0.012987012987012988,0.42857142857142855,0.5754475703324808,0.487012987012987
SLE,1.0,,,,,,0.0,,,
TCM,1.0,,,,,,0.0,,,
TIK,0.7692307692307693,0.5,0.3333333333333333,0.2,0.5,0.6666666666666667,0.18181818181818182,0.25,0.2641509433962264,0.3181818181818182
UCC,1.0,,,,,,0.0,,,
VBG,1.0,,,,,,0.0,,,
VPS,1.0,,,,,,0.0,,,
