NCEP_ID IGRA_ID LAT LON ELEV
53564 CHM00053564  39.3800 111.1500   861
53915 CHM00053915  35.5500 106.6700  1348
54012 CHM00054012  44.5800 117.6000   997
54027 CHM00054027  43.9800 119.4000   485
54094 CHM00054094  44.5700 129.6000   242
54115 CHM00054115  43.6000 118.0700   805
54135 CHM00054135  43.6000 122.2700   180
54161 CHM00054161  43.9000 125.2200   238
54401 CHM00054401  40.7800 114.8800   726
54662 CHM00054662  38.9000 121.6300    97
54753 CHM00054753  37.6200 120.3200     4
54776 CHM00054776  37.4000 122.6800    47
54823 CHM00054823  36.6800 116.9800    58
54836 CHM00054836  36.1800 118.1500   302
54857 CHM00054857  36.0700 120.3300    77
55279 CHM00055279  31.3700  90.0200  4701
55299 CHM00055299  31.4800  92.0700  4508
55472 CHM00055472  30.9500  88.6300  4671
55591 CHM00055591  29.6700  91.1300  3650
55664 CHM00055664  28.6300  87.0800  4302
55696 CHM00055696  28.4200  92.4700  3861
56033 CHM00056033  34.9200  98.2200  4273
56079 CHM00056079  33.5800 102.9700  3441
56080 CHM00056080  35.0000 102.9000  2910
56116 CHM00056116  31.4200  95.6000  3874
56137 CHM00056137  31.1500  97.1700  3307
56146 CHM00056146  31.6200 100.0000  3394
56172 CHM00056172  31.9000 102.2300  2666
56294 CHM00056294  30.6700 104.0200   508
56312 CHM00056312  29.5700  94.4700  3001
56374 CHM00056374  30.0500 101.9700  2617
56492 CHM00056492  28.8200 104.5300   342
56571 CHM00056571  27.9000 102.2700  1599
56778 CHM00056778  25.0200 102.6800  1892
56964 CHM00056964  22.7700 100.9800  1303
56989 CHM00056989  22.5000 103.9500  1363
57006 CHM00057006  34.5800 105.7500  1143
57036 CHM00057036  34.3000 108.9300   398
57083 CHM00057083  34.7200 113.6500   111
57127 CHM00057127  33.0700 107.0300   509
57193 CHM00057193  33.7800 114.5200    53
57290 CHM00057290  32.9700 114.0500    85
57411 CHM00057411  30.8000 106.0800   299
57584 CHM00057584  29.3800 113.0800    52
57707 CHM00057707  27.3000 105.2300  1511
57731 CHM00057731  27.9500 108.2500   418
57749 CHM00057749  27.5700 110.0000   261
57902 CHM00057902  25.4300 105.1800  1379
57916 CHM00057916  25.4300 106.7700   441
57957 CHM00057957  25.3300 110.3000   167
58457 CHM00058457  30.2300 120.1700    43
58477 CHM00058477  30.0300 122.1200    37
58633 CHM00058633  28.9700 118.8700    67
58666 CHM00058666  28.4500 121.8800   206
58725 CHM00058725  27.3300 117.4700   194
58754 CHM00058754  27.3300 120.2000    38
58847 CHM00058847  26.0800 119.2800    85
58911 CHM00058911  25.8500 116.3700   318
58944 CHM00058944  25.5200 119.7800    25
58968 TWM00058968  25.0300 121.5200     8
59007 CHM00059007  24.0700 105.0700  1251
59096 CHM00059096  24.3700 114.4800   214
59417 CHM00059417  22.3700 106.7500   129
59501 CHM00059501  22.7800 115.3700     7
